SKU,SM
SMPH19012611,OLMIN TRIO TAB 40 MG
SMPH19012613,CORALAN TAB 5 MG
SMPH19012620,ROSEDAY GOLD 20MG CAP
SMPH19012621,FONDAZEST 2.5MG PFS INJ
SMPH19012623,LISTRIL 5MG TAB
SMPH19012625,METOLAR XR 100MG CAP
SMPH19012629,SUPERMET XL 50MG TAB
SMPH19012630,SORBITRATE TAB 10 MG
SMPH19012631,OLMIN TAB 40 MG
SMPH19012632,SMUTH CAP
SMPH19012635,OLVANCE 40MG TAB
SMPH19012637,ANOBLISS CREAM 30GM
SMPH19012643,ENAM 5MG TAB
SMPH19012644,LIPIKIND 10MG TAB
SMPH19012645,S-NUMLO TAB 2.50 MG
SMPH19012647,ROSEDAY GOLD CAP
SMPH19012648,AMBRICAN 5MG TAB
SMPH19012657,TELMAXX 50MG TAB
SMPH19012658,CARDACE TAB 1.25 MG
SMPH19012660,PREVA-GOLD CAP
SMPH19012662,TARGIT-AM 40/5MG TAB
SMPH19012663,CIPLAR LA 20MG TAB
SMPH19012674,RANOLAZ OD ER TAB
SMPH19012676,ROSUVAS F 5MG TAB
SMPH19012678,CARDACE H 2.5MG TAB
SMPH19012680,CUTENOX 60MG INJ
SMPH19012682,RAMCOR 5MG CAP
SMPH19012683,AFOGATRAN CAP 110MG
SMPH19012687,CALAPTIN SR 120MG TAB
SMPH19012688,CLEXANE 80MG INJ
SMPH19012694,TARGIT TAB 40 MG
SMPH19012696,ADILIP 135MG TAB
SMPH19012702,BRILINTA TAB 60 MG
SMPH19012708,DYTOR 2ML INJ
SMPH19012709,ATORSAVE 10MG TAB
SMPH19012711,BOSENTAS TAB 125 MG
SMPH19012712,ATORSAVE 20MG TAB
SMPH19012721,LIPICARD 200MG CAP
SMPH19012722,OLVANCE 20MG TAB
SMPH19012731,PINOM-H 40MG TAB
SMPH19012732,AMLOPIN M TAB
SMPH19012733,VENUSMIN 300 MG TAB
SMPH19012735,TELMA LN 40MG TAB
SMPH19012736,MET XL-AM 25/5 TAB
SMPH19012741,METPURE AM 2.5MG TAB
SMPH19012749,RAZEL TAB 5 MG
SMPH19012751,PROCTOSEDYL BD 20GM CREAM
SMPH19012754,REPALOL H TAB
SMPH19012756,AZTOLET 20/75 TAB
SMPH19012760,PROLOMET XL 12.5MG TAB
SMPH19012761,TELISTA-H 80MG TAB
SMPH19012762,LNBLOC 20MG TAB
SMPH19012766,CRESTOR TAB 5 MG
SMPH19012772,OLMEZEST CH 20 TAB
SMPH19012773,RAZEL TAB 20 MG
SMPH19012775,EMBETA AM 50MG TAB
SMPH19012779,CORBIS 2.5MG TAB
SMPH19012783,TERMIN 10ML INJ
SMPH19012788,NATRILAM 5MGTAB
SMPH19012789,CONCOR TAB 10 MG
SMPH19012790,CONCOR COR 1.25 MG TAB
SMPH19012794,INZIT 4MG TAB
SMPH19012798,ROZAVEL F TAB
SMPH19012799,CERUVIN TAB 75 MG
SMPH19012801,TELEACT 40MG TAB
SMPH19012802,ABEL TAB 40 MG
SMPH19012806,MOXILONG 0.3MG TAB
SMPH19012813,TIGATEL 40MG TAB
SMPH19012814,ATORSAVE D 10MG TAB
SMPH19012820,ROSULIP F TAB 10MG
SMPH19012825,NICARDIA CD RTD 30 TAB
SMPH19012829,METOZ 5MG TAB
SMPH19012830,AMLOVAS L 5MG TAB
SMPH19012832,CILODOC TAB 50 MG
SMPH19012834,OLSERTAIN 40MG TAB
SMPH19012835,CINOD-T TAB
SMPH19012838,OLMETRACK TAB 20 MG
SMPH19012841,GTN SORBITRATE CR 6.4MG TAB
SMPH19012844,DABIGO 110MG CAP
SMPH19012846,FONDARED 7.5MG INJ
SMPH19012848,CINOD TAB 20 MG
SMPH19012866,TELPLUS TRIO TAB
SMPH19012870,OLSERTAIN 20MG TAB
SMPH19012873,RENOPRESS XL 5MG TAB
SMPH19012877,ROSEDAY F 20MG TAB
SMPH19012878,IMDUR 60MG TAB
SMPH19012882,LIPIKIND 20MG TAB
SMPH19012883,COVERSYL TAB 2 MG
SMPH19012890,ECOSPRIN GOLD 10 FORTE CAP
SMPH19012902,NEBICARD TAB 10 MG
SMPH19012905,DOBUSTAT 250MG INJ
SMPH19012906,ENVAS 10MG TAB
SMPH19012909,OLMEZEST TAB 10 MG
SMPH19012914,AXCER TAB 60 MG
SMPH19012916,CARCA 6.25 MG TAB
SMPH19012917,PREVA TAB 75 MG
SMPH19012925,CRESTOR TAB 40 MG
SMPH19012926,CILODOC TAB 100 MG
SMPH19012928,STARCAD B 50MG TAB
SMPH19012931,PULMOPRES 20MG TAB
SMPH19012935,TELMA BETA 50MG
SMPH19012939,CIDMUS 200MG TAB
SMPH19012941,CARLOC 3.125MG TAB
SMPH19012942,OLMETOR TAB 40 MG
SMPH19012943,OLMETOR TAB 20 MG
SMPH19012947,TOZAAR TAB 50 MG
SMPH19012950,CERUVIN A 75MG CAP
SMPH19012951,NATRISE 30MG TAB
SMPH19012956,CALAPTIN TAB 40 MG
SMPH19012958,IXAROLA 20MG TAB
SMPH19012963,TELMAXX 25MG TAB
SMPH19012966,NUCORIL 5MG TAB
SMPH19012975,ESLO D TAB
SMPH19012980,TELISTA CH 40/6.25MG TAB
SMPH19012982,DILNIP TRIO TAB
SMPH19012984,ERITEL 20MG TAB
SMPH19012994,ATORFIT 10MG TAB
SMPH19012999,TELSITE 40MG TAB
SMPH19013005,AZTOR EZ TAB
SMPH19013007,TELSITE H 40MG TAB
SMPH19013008,GUTRON 2.5MG TAB
SMPH19013009,INDERAL LA 20MG TAB
SMPH19013012,OLVANCE H 40MG TAB
SMPH19013014,MONOTRATE TAB 10 MG
SMPH19013021,METOLAR XR 12.5MG CAP
SMPH19013023,MYOTAN 40MG TAB
SMPH19013030,WARF 3MG TAB
SMPH19013034,ISMO 10MG TAB
SMPH19013037,ROSULIP 5MG TAB
SMPH19013042,PREVA AS 75MG TAB
SMPH19013052,DEPLATT 150MG TAB
SMPH19013063,CORDARONE INJ
SMPH19013066,TELSARTAN 20MG TAB
SMPH19013067,DILZEM CD 180MG CAP
SMPH19013068,PRADAXA CAP 75 MG
SMPH19013070,TELISTA CH 40/12.5MG TAB
SMPH19013073,PROVANOL SR 40MG TAB
SMPH19013074,PLANEP T 10MG TAB
SMPH19013086,IVABRAD 7.5MG TAB
SMPH19013088,ATOCOR 80MG TAB
SMPH19013103,AMLOPRES 2.5MG TAB
SMPH19013104,ATORLIP 80MG TAB
SMPH19013105,SUPERMET XL 25MG TAB
SMPH19013107,ERITEL LN 80MG TAB
SMPH19013108,PIVASTA 2MG TAB
SMPH19013110,AMIFRU 40MG TAB
SMPH19013119,CINOD TAB 5 MG
SMPH19013120,REMETOR CV 10MG CAP
SMPH19013124,TIDE 20MG TAB
SMPH19013132,STORVAS CV 20 MG TAB
SMPH19013134,TELVAS 3D 80MG
SMPH19013140,LIPVAS 10MG TAB
SMPH19013143,TWINCAL 10MG TAB
SMPH19013144,COVERSYL TAB 8 MG
SMPH19013148,CLOPITAB CV 20 MG TAB
SMPH19013150,ATOCOR CV 10 MG CAP
SMPH19013160,FIBATOR 20 TAB
SMPH19013163,DABICLOT 110 CAP
SMPH19013166,ROZAT 40MG TAB
SMPH19013169,LABLOL 5MG 4ML INJ
SMPH19013181,DYTOR PLUS LS 10MG TAB
SMPH19013182,CLEXANE 20MG INJ
SMPH19013192,CAAT TAB 40 MG
SMPH19013194,METOZ 2.5MG TAB
SMPH19013200,FRUSELAC DS TAB
SMPH19013201,AMLOGARD TAB 10 MG
SMPH19013204,ABCIXIREL 10MG INJ
SMPH19013207,LOBET 4ML INJ
SMPH19013210,STORVAS 5MG TAB
SMPH19013238,CARLOC TAB 6.25 MG
SMPH19013250,CAAT TAB 20 MG
SMPH19013259,LN-TRIO 10MG TAB
SMPH19013265,OLMAX 20MG TAB
SMPH19013267,OLMAX TAB 40 MG
SMPH19013290,AZMARDA 200MG TAB
SMPH19013298,NIKORAN 48 MG INJ
SMPH19013299,ROSULIP 40MG TAB
SMPH19013304,SARTEL TAB 80 MG
SMPH19013311,HEP 25 INJ
SMPH19013320,HEP 5 INJ
SMPH19013321,CARLOC TAB 12.5 MG
SMPH19013324,CILADUO TAB 10 MG
SMPH19013338,ROSLOY CV 10MG
SMPH19013351,AMLOPRES TAB 10 MG
SMPH19013361,ROSUVAS CV 20MG TAB
SMPH19013366,TELEACT D TAB
SMPH19013367,INDERAL LA 40MG TAB
SMPH19013368,AQUAZIDE 12.5 TAB
SMPH19013369,ATORFIT CV 40MG TAB
SMPH19013372,SUSTAMETO 50MG TAB
SMPH19013375,ROSLOY GOLD 10MG CAP
SMPH19013377,TOLVASCA 15MG TAB
SMPH19013391,DABLEXA 110 MG TAB
SMPH19013394,ENAM 2.5MG TAB
SMPH19013405,LORVAS 1.5MG TAB SR
SMPH19013411,ANGIPLAT TR 6.5MG CAP
SMPH19013412,TIROCIP 100ML INJ
SMPH19013414,DEPIN RETARD 20MG TAB
SMPH19013415,ISORDIL 5MG TAB
SMPH19013436,DILNIP T 40 TAB
SMPH19013437,HYTRIN 1MG TAB
SMPH19013444,LASIX 4ML INJ
SMPH19013445,TRICINOD 10/12.5 MG TAB
SMPH19013450,DABIGO 150MG CAP
SMPH19013459,CAPRIN 5000IU INJ
SMPH19013461,DOBUTREX 250MG INJ
SMPH19013464,ANO METROGYL CREAM 20GM
SMPH19013469,OLKEM H 40MG TAB
SMPH19013472,WARF 1MG TAB
SMPH19013478,AFOGATRAN CAP 150MG
SMPH19013480,ROSUVAS D 10MG
SMPH19013484,CILNY TAB 20 MG
SMPH19013490,MET XL TRIO 50MG TAB
SMPH19013496,LOPID 300MG CAP
SMPH19013499,BETACAP TAB 20 MG
SMPH19013509,ENVAS 1ML INJ
SMPH19013511,DOTAMIN 250MG/5ML INJ
SMPH19013515,FUROPED SOLUTION
SMPH19013518,ESAM AT TAB
SMPH19013519,CILACAR M TAB
SMPH19013525,CILIDIN TAB 10 MG
SMPH19013542,METOLAR AM 50MG TAB
SMPH19013543,NIKOS TAB 5MG
SMPH19013548,IROVEL 150MG TAB
SMPH19013557,HEPARIN 25 INJ
SMPH19013568,ATORSAVE CV 10MG TAB
SMPH19013586,AVAS TAB 80 MG
SMPH19013591,FLECARITE 50MG TAB
SMPH19013603,MONOTRATE OD 25MG TAB
SMPH19013607,PINOM OM-M 50MG TAB
SMPH19013609,TENORMIN 50MG TAB
SMPH19013612,PIVASTA 4MG TAB
SMPH19013625,ATORBEST TAB 20 MG
SMPH19013627,TENORMIN 25MG TAB
SMPH19013628,ECOSPRIN GOLD 10MG CAP
SMPH19013637,ROZAVEL A 150MG TAB
SMPH19013645,MOXILONG 0.2MG TAB
SMPH19013656,PINOM TAB 10 MG
SMPH19013657,TELZOX H TAB
SMPH19013666,MYONIT 6.4MG SR TAB
SMPH19013671,TROYHEP 25000IU INJ
SMPH19013682,TRIOLVANCE TAB 40 MG
SMPH19013692,TOR-20MG TAB
SMPH19013695,ATORLIP 5MG TAB
SMPH19013707,ROZAVEL EZ TAB
SMPH19013709,PREVA AS 150MG TAB
SMPH19013711,BETACAP TR 80MG CAP
SMPH19013720,OLMAX AM 20 TAB
SMPH19013729,ENOXATIL 40MG INJ
SMPH19013731,ENAM TAB 10 MG
SMPH19013734,MONIT GTN 2.6MG TAB
SMPH19013738,CLOPITAB CV GOLD 10MG CAP
SMPH19013742,METODER XL 25MG TAB
SMPH19013743,PULMOSIL 12.5ML INJ
SMPH19013754,TELZOX TAB 40 MG
SMPH19013756,RAZEL TAB 40 MG
SMPH19013762,DABICLOT 150 CAP
SMPH19013772,LIPIKIND AS CAP
SMPH19013781,TELEACT CT 40MG TAB
SMPH19013784,MYOTAN 80MG TAB
SMPH19013789,ATOCOR 5MG TAB
SMPH19013803,TELZOX TRIO TAB
SMPH19013814,DEPIN 5MG CAP
SMPH19013822,TELSITE AM H 40MG TAB
SMPH19013827,TELISMART 40MG TAB
SMPH19013844,AMLIP 5MG TAB
SMPH19013858,RAMISAVE 5MG TAB
SMPH19013872,VALZAAR 160MG TAB
SMPH19013873,TVAPTAN 15MG TAB
SMPH19013879,BETACAP TR CAP 20 MG
SMPH19013884,COVERSYL AM 8/10 TAB
SMPH19013886,DURON 3ML INJ
SMPH19013898,NITROCIN 25MG INJ
SMPH19013912,RUTICOOL CREAM 30GM
SMPH19013919,FLAVEDON 20MG TAB
SMPH19013934,TELZOX AM TAB
SMPH19013936,BENIDIN TAB 8 MG
SMPH19013939,OLMAX 40 H TAB
SMPH19013946,LIPVAS 20MG TAB
SMPH19013951,VALZAAR 80MG TAB
SMPH19013962,CUTENOX 20MG INJ
SMPH19013964,TACHYRA 3ML INJ
SMPH19013969,FLECARITE 100MG TAB
SMPH19013979,OLMETOR AM 40MG TAB
SMPH19013988,MILICOR 10MG INJ
SMPH19013990,LISTRIL 2.5MG TAB
SMPH19014005,DABLEXA 150MG CAP
SMPH19014011,STORVA TRIO 20 CAP
SMPH19014016,DYTOR PLUS 5MG TAB
SMPH19014020,TIGATEL AM 40MG TAB
SMPH19014038,COLTRO TAB 10 MG
SMPH19014043,AMLOPRES TL TAB
SMPH19014044,CLOPITAB 150MG TAB
SMPH19014045,FONDAFLO 7.5MG INJ
SMPH19014049,LMWX 20MG PFS INJ
SMPH19014060,CILIDIN TRIO TAB
SMPH19014063,DYTOR PLUS 20MG TAB
SMPH19014064,OLMAX AM 40 TAB
SMPH19014083,EZENTIA TAB
SMPH19014098,STAMLO 2.5 MG TAB
SMPH19014103,MILRINEON 10MG INJ
SMPH19014109,PREVA GOLD 20 MG CAP
SMPH19014113,NORAD INJ 4MG [4ML]
SMPH19014114,OLMAX H 20 TAB
SMPH19014121,PLANEP T 20MG TAB
SMPH19014130,RANCIL 20MG TAB
SMPH19014132,STUKINASE 1.5 MIU INJ
SMPH19014146,PLAGRIL TAB 75 MG
SMPH19014181,CILIDIN -T TAB
SMPH19014190,ENOXEL 60MG INJ
SMPH19014194,AVAS TAB 5 MG
SMPH19014215,FRENIN INJ
SMPH19014221,AQUAZIDE 25MG TAB
SMPH19014229,DOMIN 5ML INJ
SMPH19014233,STARPRESS XL 12.5 MG TAB
SMPH19014241,ASKLEROL 3% 2ML INJ
SMPH19014244,SOLET TAB 40 MG
SMPH19014245,ESLO-MET 2.5 TAB
SMPH19014264,DEPIN 10MG CAP
SMPH19014278,TARGIT TAB 20 MG
SMPH19014287,ADENOCOR INJ 6 MG 2 ML
SMPH19014302,ZILZOX 40MG TAB
SMPH19014307,ATOCOR CV 10 MG CAP
SMPH19014351,CALAPTIN TAB 80 MG
SMPH19014362,DEPLATT A 150MG TAB
SMPH19014364,AFOGATRAN CAP 75MG
SMPH19014367,COLTRO TAB 20 MG
SMPH19014381,SETROL 3% 2ML INJ
SMPH19014391,ALSARTAN TAB 50 MG
SMPH19014430,DEZOFLAV 1000MG TAB
SMPH19014441,CARNOSIN 2ML INJ
SMPH19014446,XIRTAM 20MG TAB
SMPH19014452,KABIHEP 5000IU INJ
SMPH19014454,ESLO 2.5 TAB
SMPH19014470,DABIGO 75MG TAB
SMPH19014473,SIMENDA INJ
SMPH19014482,MIGRABETA TR 20 MG TAB
SMPH19014504,NITROPLUS 5ML INJ
SMPH19014524,TELLZY MT 25MG TAB
SMPH19014527,METOLAR 100MG TAB
SMPH19014536,CILIDIN M TAB
SMPH19014551,CLONEON 150 MCG INJ
SMPH19014556,ACITROM TAB 0.5MG
SMPH19014568,DIXIN PAED SYP 60ML
SMPH19014572,ROSLOY ASP CAP
SMPH19014576,TELLZY CH 40MG TAB
SMPH19014578,CILADUO TAB 5 MG
SMPH19014602,LABETROY 20MG INJ
SMPH19014612,TELSARTAN H 80MG TAB
SMPH19014651,LABLOL 100MG 20ML INJ
SMPH19014652,STAHA 5MG TAB
SMPH19014663,DOBUCIN 250MG/5ML INJ
SMPH19014666,HEPLOCK 10ML INJ
SMPH19014679,ESOCARD 100MG INJ
SMPH19014681,NIMODEC INJ 10 MG
SMPH19014685,NORBIT 4MG/2ML INJ
SMPH19014700,STAMLO TAB 10 MG
SMPH19014712,ECOSPRIN 325MG TAB
SMPH19014719,ATOREC CV 10 MG CAP
SMPH19014723,TELZOX M 50MG TAB
SMPH19014725,TROYHEP 5000IU INJ
SMPH19014737,LORVAS 2.5MG TAB
SMPH19014739,CORALAN TAB 7.5 MG
SMPH19014741,TIDE 40MG TAB
SMPH19014750,DOPAR 200MG INJ
SMPH19014753,TELVAS LN 40 MG TAB
SMPH19014780,OLZOX TRIO TAB
SMPH19014789,LABIL 20MG 4ML INJ
SMPH19014791,ATORBEST 10 MG TAB
SMPH19014793,ATOREC TAB 80 MG
SMPH19014799,OLZOX 20MG TAB
SMPH19014827,ENCOXEL-40MG INJ
SMPH19014837,METOLAR 5ML INJ
SMPH19014843,NITRODERM TTS PATCH
SMPH19014847,PROVANOL 20MG TAB
SMPH19014850,NIKORAN 2MG INJ
SMPH19014867,METOLAR AM 25MG TAB
SMPH19014881,BETACAP TAB 10 MG
SMPH19014892,IROVEL H TAB
SMPH19014896,CILIDIN TAB 5 MG
SMPH19014908,DILZEM 5ML INJ
SMPH19014951,REMETOR 40 MG TAB
SMPH19014952,ROSLOY F 10 MG TAB
SMPH19014960,LOPRIN 75MG TAB
SMPH19014975,INDERAL 20MG TAB
SMPH19014979,TELVAS CT 40 MG TAB
SMPH19015007,CILIDIN TAB 20 MG
SMPH19015019,PHENPRES 10MG INJ
SMPH19015022,SORBITRATE HF TAB
SMPH19015026,PRAZOPRESS 1MG TAB
SMPH19015033,TELZOX M 25MG TAB
SMPH19015062,PROCTOSEDYL OINT 20GM
SMPH19015209,MILRON 10MG INJ
SMPH19015212,STARPRESS AM XL 25 MG TAB
SMPH19015220,METOZOX 50MG ER TAB
SMPH19015224,BIOVAS TAB 20 MG
SMPH19015247,DABLEXA 75MG CAP
SMPH19015282,TELZOX H 80MG TAB
SMPH19015307,PULMOSIL SYP 10ML
SMPH19015313,TELZOX TAB 20 MG
SMPH19015330,NIPRESS INJ
SMPH19015343,MIGRABETA TR 40 MG TAB
SMPH19015346,DIXIN 0.25MG TAB
SMPH19015353,HYDRAZIDE 12.5MG TAB
SMPH19015363,ARKAMIN H TAB
SMPH19015364,INDERAL 40MG TAB
SMPH19015409,FONDALIN 2.5MG PFS INJ
SMPH19015444,OLZOX CH 40 TAB
SMPH19015545,TARGIT H 40/12.5MG TAB
SMPH19015567,NICARDIA CAP 10 MG
SMPH19015616,ADENOZ 6 MG INJ
SMPH19015622,MELTOR 10MG TAB
SMPH19015725,NICARDIA CAP 5 MG
SMPH19015741,AMLIP 2.5MG TAB
SMPH19015777,NITROCIN 50MG INJ
SMPH19015787,BENIDIN M 25 MG TAB
SMPH19015890,FRAGMIN 10000 IU INJ
SMPH19015895,ROSLOY CV 5MG
SMPH19015903,LASIX 2ML INJ
SMPH19015992,TELMAVAS-H TAB
SMPH19015994,TELVAS LN 80MG TAB
SMPH19016022,MYONIT 5ML INJ
SMPH19016031,REMETOR 80 MG TAB
SMPH19016055,TELMIVAS 40MG TAB
SMPH19016090,PROVANOL 40MG TAB
SMPH19016172,ROZUDOC GOLD 20 MG
SMPH19016175,TVAPTAN 30MG TAB
SMPH19016180,NOXAPURE 40MG INJ
SMPH19016301,CLOPICARD-AP 75MG TAB
SMPH19016336,CLOPIVAS TAB 300 MG
SMPH19016400,U-FRAG 5000IU INJ
SMPH19016505,BIOVAS TAB 10 MG
SMPH19016513,DOPACIN 5ML INJ
SMPH19016565,BISOTAB TAB 5 MG
SMPH19016736,BISOTAB 2.5MG TAB
SMPH19016790,SORBITRATE INSTA TAB
SMPH19016809,DOPAN 40MG INJ
SMPH19016878,DIXIN 0.5MG/2ML INJ
SMPH19016903,MEXOHAR 150MG CAP
SMPH19017418,CLOPICARD TAB 75 MG
SMPH19017885,ECOSPRIN 75MG TAB
SMPH19017968,VPL 2ML
SMPH19018388,OXERUTE CAP
SMPH19018627,ACITROM TAB 2MG
SMPH19018628,ACITROM TAB 3MG
SMPH19018759,ATORLIP F TAB
SMPH19018971,ERITEL H TAB
SMPH19018995,FIBATOR 10MG TAB
SMPH19019006,FRUSEMIDE 2ML INJ
SMPH19019076,LOSAR-H TAB
SMPH19019117,METPURE XL 50MG TAB
SMPH19019159,NICARDIA TAB RETARD 10 MG
SMPH19019160,NICARDIA TAB RETARD 20 MG
SMPH19019247,RAMISTAR 2.5MG TAB
SMPH19019345,TELISTA AM 40MG TAB
SMPH19019466,CTD T TAB 12.5 MG/40
SMPH19070205,DUVADILAN RETARD TAB
SMPH19070214,DUVADILAN 10MG TAB
SMPH19070231,COMPLAMINA RETARD 500 MG TAB
SMPH19070263,TRENTAL  400MG SR
SMPH19070325,DUVADILAN 2ML INJ
SMPH19070527,NIACIN NF TAB 1GM
SMPH19080819,PAH TAB 20 MG
SMPH19080853,TELMA CT 80/12.5 MG TAB
SMPH19080998,CILAMET-XL 25MG TAB
SMPH19080999,CILAMET-XL 50MG TAB
SMPH19081590,LABIL 20MG 4ML INJ
SMPH19082167,TRANEFIT INJ
SMPH19082177,RENOCRIT 4000 INJ
SMPH19082186,VYMADA 100 MG TAB
SMPH19082188,FONDAZEST 7.5MG PFS INJ
SMPH19082191,ROSUBEST 20MG TAB
SMPH19082196,NITROPLUS 25MG INJ
SMPH19082224,ROSU HDL 40MG
SMPH19082390,FRUSIZEX 2ML INJ
SMPH19082412,VITAMIN K INJ [/GEN]
SMPH19082435,GREENVIT CAP
SMPH19082470,VYMADA 50MG TAB
SMPH19082567,CARDIVAS CR 10MG CAP
SMPH19082568,CARDIVAS CR 20MG TAB
SMPH19082621,HEPAGLAN 25 INJ
SMPH19082797,LMWX 60MG INJ
SMPH19082799,LMWX 40MG INJ
SMPH19082805,LMWX 20MG INJ
SMPH19082818,DOMIN 40 MG/1 ML INJ
SMPH19082877,NORADERIN 4 MG INJ
SMPH19082928,VENSUMIN 300MG TAB
SMPH19082933,ATR 10MG TAB
SMPH19082943,VAPTOLVA TAB
SMPH19082964,FOLID TAB
SMPH19082968,ORITEL CH 20 TAB
SMPH19082969,MEXOHAR 50MG CAP
SMPH19082972,ORITEL 20MG TAB
SMPH19082973,RANDIL 5 TAB
SMPH19082974,TELCEL 20MG TAB
SMPH19082976,TORCEL 20MG TAB
SMPH19082977,ORITEL 40MG TAB
SMPH19082978,TORCEL 100MG TAB
SMPH19082982,TELCEL 40MG TAB
SMPH19082983,ATR 40MG TAB
SMPH19082985,TORLIP 20MG TAB
SMPH19082986,ERITEL CH TRIO 40MG TAB
SMPH19082987,MONOTRATE SR 30MG TAB
SMPH19082988,TELMICO AM TAB
SMPH19082992,CILNIRIGHT 5MG TAB
SMPH19083006,ATOGENIC 10MG TAB
SMPH19083013,TICABID 90MG TAB
SMPH19083042,CARVISTAR CR 10 TAB
SMPH19083060,CILNIRIGHT 10MG TAB
SMPH19083125,ATR 20MG TAB
SMPH19083151,TELMICO HT TAB
SMPH19083194,X-ROX TAB
SMPH19083208,RED BC 5000IU
SMPH19083233,ARKAPRES 100MCG TAB
SMPH19083250,CLOPITORVA 10 CAP
SMPH19083251,CLOPITORVA 20 CAP
SMPH19083252,NOVASTAT GOLD 10MG TAB
SMPH19083253,NOVASTAT GOLD 20MG TAB
SMPH19083254,COVERSYL PLUS HD TAB
SMPH19083255,CILIDIVAS 10MG TAB
SMPH19083294,HEP LOCK 2ML INJ
SMPH19083386,TICASPAN TAB
SMPH19083396,FRUSECURE INJ
SMPH19083398,REPOITIN 6K
SMPH19083404,CONCOR 2.5 MG TAB
SMPH19083413,ROSLOY CV 20MG
SMPH19083438,METPEAK XL 50MG TAB
SMPH19083439,NICORAN 5 MG TAB
SMPH19083441,TELSCORE H 40MG TAB
SMPH19083457,ENOXION 20MG INJ
SMPH19083458,ENOXION 60MG INJ
SMPH19083596,BIOVAS 40 MG TAB
SMPH19083597,BIOVAS TAB 20 MG
SMPH19083702,ATR 80MG TAB
SMPH19083709,CARVENOL 3.12 MG TAB
SMPH19083710,CARVENOL 6.25 MG TAB
SMPH19083713,CLINDINOL 10MG TAB
SMPH19083714,CLINDINOL 5 MG TAB
SMPH19083721,HEMOFIL M 500IU
SMPH19083728,KOATE-DVI 250IU INJ
SMPH19083747,RAMGEE 2.5MG TAB
SMPH19083920,U-FRAG 500000IU INJ
SMPH19084408,ROMY 250MG INJ
SMPH19084410,DALTEHEP G 2500IU INJ
SMCO1901276,PREGGERS LEG RELAXING GEL
SMPH19036393,BETNOVATE N CREAM 20GM
SMPH19036394,BETNOVATE-C CREAM
SMPH19036396,BETADINE 10% OINT 15GM
SMPH19036397,T-BACT OINT 5GM
SMPH19036401,BETADINE 10% SOLUTION 100ML
SMPH19036402,CANDIFORCE CAP 200 MG
SMPH19036404,MELACARE CREAM 20GM
SMPH19036405,SURFAZ SN CREAM 10GM
SMPH19036408,TEDIBAR SOAP 75GM
SMPH19036410,QUADRIDERM RF 10GM
SMPH19036411,SOFRAMYCIN SKIN 30GM CREAM
SMPH19036412,CANDID B 20GM CREAM
SMPH19036414,QUADRIDERM RF 5GM
SMPH19036415,BETNOVATE GM 20GM CREAM
SMPH19036416,T-BACT OINT 15 G
SMPH19036418,KZ SOAP
SMPH19036419,NEOSPORIN POWDER 10GM
SMPH19036420,KZ CREAM 30GM
SMPH19036421,CANDITRAL CAP 200 MG
SMPH19036424,CANDID B 10GM CREAM
SMPH19036425,ZOLE F 15GM OINT
SMPH19036426,SILVEREX IONIC GEL 20GM
SMPH19036429,LULIFIN CREAM 10GM
SMPH19036430,CANDITRAL CAP 100 MG
SMPH19036431,LULICAN CREAM 30GM
SMPH19036432,ABZORB 100GM POWDER
SMPH19036433,MEGAHEAL GEL 15GM
SMPH19036434,SYNTRAN 100MG CAP
SMPH19036436,SYNTRAN 200MG CAP
SMPH19036437,CANDID 50GM POWDER
SMPH19036438,MINTOP FORTE SOLN 60ML
SMPH19036439,GRISOVIN-FP 250MG TAB
SMPH19036441,SILVEREX IONIC GEL 10GM
SMPH19036444,TENOVATE CREAM 30GM
SMPH19036445,PROPYSALIC NF 6 OINT 20GM
SMPH19036446,CANDID B LOTION 30ML
SMPH19036447,SCALPE+ SHAMPOO 75ML
SMPH19036449,DERMADEW SOAP 75GM
SMPH19036455,MOMATE CREAM 15GM
SMPH19036460,I-TYZA 200MG CAP
SMPH19036465,ISOTROIN 20MG CAP
SMPH19036467,FUNGICROS CREAM 30GM
SMPH19036470,VENUSIA MAX CREAM 150GM
SMPH19036471,CANDID TV SUSP 75ML
SMPH19036472,DERMADEW BABY SOAP 75GM
SMPH19036473,DERIVA CMS GEL 15GM
SMPH19036480,VENUSIA MAX MOISTURIZING LOTION 300ML
SMPH19036481,CANDID CREAM 30 G
SMPH19036482,PROPYSALIC NF OINT 20GM
SMPH19036483,TACROZ FORTE 10GM OINT
SMPH19036485,SEBIFIN TAB 250MG
SMPH19036486,AHAGLOW GEL FACEWASH 100 G
SMPH19036487,ITASPOR 200MG CAP
SMPH19036488,EUMOSONE M CREAM 15GM
SMPH19036490,DK GEL 2 % 30GM
SMPH19036491,CETAPHIL LOTION MOISTURIZING 100 ML
SMPH19036493,DERMADEW ACNE SOAP 75GM
SMPH19036494,CLEARGEL GEL 20GM
SMPH19036498,METROGYL P OINT 20GM
SMPH19036500,NEOSPORIN OINT SKIN 5GM
SMPH19036502,PHOTOSTABLE GEL 75GM
SMPH19036503,APREZO TAB 30 MG
SMPH19036504,ERYTOP 20GM GEL
SMPH19036506,DERMADEW ALOE LOTION 50 ML
SMPH19036507,CONTRACTUBEX 20GM GEL
SMPH19036508,HHFUDIC CREAM 10GM
SMPH19036509,CANCIDAS INJ 50 MG
SMPH19036510,NEBASULF 10GM POWDER
SMPH19036512,MINTOP 10% SOLUTION 60ML
